year,Base case cost,Modeled residential energy efficiency
2017,721164.73405,763342.238672
2018,773646.000724,801471.274291
2019,839245.609604,848904.542446
2020,874605.794788,873577.559352
2021,896938.543325,888026.597532
2022,909380.188228,893438.740414
2023,922314.744853,900585.728955
2024,931553.71387,904887.853123
2025,938067.1887,905755.569569
2026,946216.160141,907937.715762
2027,958964.956722,915175.994232
2028,963192.774788,914348.035261
2029,969056.089464,914829.806986
2030,971170.742235,912404.123841
2031,978457.256328,914042.606487
2032,987286.38701,916893.563522
2033,988672.755656,912359.714157
2034,996904.800482,914728.138285
2035,990700.965294,904273.908446
2036,1000064.3009,907493.380778
