year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,180183.26,8411.1,273485.93,156951.19
2018,180112.82,8408.94,273485.93,156951.19
2019,179971.94,8406.5,273485.93,155789.99
2020,179831.06,8402.68,273485.93,155789.99
2021,179549.31,8396.84,273485.93,155789.99
2022,179267.55,8391.22,273485.93,154628.8
2023,178985.8,8384.95,273485.93,154628.8
2024,178704.04,8378.79,273485.93,154628.8
2025,178351.85,8371.64,273485.93,153467.6
2026,177929.22,8362.61,273485.93,152306.41
2027,177365.71,8351.56,273485.93,152306.41
2028,176802.2,8338.45,273485.93,151145.21
2029,176309.13,8328.49,273485.93,149984.02
2030,175816.06,8317.92,273485.93,148822.82
2031,175111.68,8303.09,273485.93,147661.63
2032,174195.97,,,146500.43
2033,173209.83,,,144178.04
2034,172153.26,,,143016.85
2035,171167.12,,,140694.46
2036,170180.98,,,139533.26
