year,Base case cost,Modeled solar power (pv)
2016,286603.372854,314052.387448
2017,351357.347304,377292.868562
2018,401651.580653,426298.684801
2019,469726.761452,492868.51967
2020,503526.973799,525649.866792
2021,524283.9785,545576.445899
2022,541388.011087,561915.620546
2023,553066.118832,572916.418389
2024,561130.700073,580365.872209
2025,572509.443804,591097.715169
2026,585387.134143,603320.454796
2027,595948.790215,613264.844467
2028,604663.533038,621399.135206
2029,615318.872436,631465.197538
2030,622388.860767,638003.960721
2031,633904.268749,648934.65186
2032,646267.066368,660704.263212
2033,658197.371036,672054.831887
2034,669676.164334,682967.052146
2035,674398.434416,687220.98733
