year,Base case diesel consumed,Modeled wind power
2019,179971.939254,117632.821625
2020,179831.062071,117491.944443
2021,179549.307706,117210.190077
2022,179267.55334,116928.435712
2023,178985.798975,116646.681346
2024,178704.044609,116364.926981
2025,178351.851652,116012.734024
2026,177929.220104,115590.102476
2027,177365.711373,115026.593745
2028,176802.202643,114463.085014
2029,176309.132503,113970.014875
2030,175816.062364,113476.944735
2031,175111.67645,112772.558822
2032,174195.974762,111856.857134
2033,173209.834483,110870.716855
2034,172153.255613,109814.137985
2035,171167.115334,108827.997706
2036,170180.975055,107841.857427
2037,169265.273367,106926.155739
2038,168279.133088,105940.01546
