year,Base case diesel consumed,Modeled solar power (pv)
2016,180253.693619,177767.967405
2017,180183.255028,177717.414624
2018,180112.816436,177666.702756
2019,179971.939254,177545.394482
2020,179831.062071,177423.929658
2021,179549.307706,177161.432352
2022,179267.55334,176898.780989
2023,178985.798975,176635.976802
2024,178704.044609,176373.021014
2025,178351.851652,176039.476246
2026,177929.220104,175635.343701
2027,177365.711373,175090.185982
2028,176802.202643,174544.881454
2029,176309.132503,174069.869884
2030,175816.062364,173594.713845
2031,175111.67645,172908.09872
2032,174195.974762,172010.025654
2033,173209.834483,171041.372968
2034,172153.255613,170002.14179
2035,171167.115334,169033.210421
