year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,273485.934961,202379.591871
2018,273485.934961,202379.591871
2019,273485.934961,202379.591871
2020,273485.934961,202379.591871
2021,273485.934961,202379.591871
2022,273485.934961,202379.591871
2023,273485.934961,202379.591871
2024,273485.934961,202379.591871
2025,273485.934961,202379.591871
2026,273485.934961,202379.591871
2027,273485.934961,202379.591871
2028,273485.934961,202379.591871
2029,273485.934961,202379.591871
2030,273485.934961,202379.591871
2031,273485.934961,202379.591871
