year,Base case cost,Modeled wind power
2019,469726.761452,794674.400954
2020,503526.973799,808833.43348
2021,524283.9785,813897.822263
2022,541388.011087,816591.705922
2023,553066.118832,815669.191907
2024,561130.700073,812405.513692
2025,572509.443804,811594.795319
2026,585387.134143,811949.232151
2027,595948.790215,810713.538528
2028,604663.533038,808352.294864
2029,615318.872436,807584.232117
2030,622388.860767,804475.589566
2031,633904.268749,804392.047131
2032,646267.066368,804795.790067
2033,658197.371036,804935.075228
2034,669676.164334,804786.94598
2035,674398.434416,800171.233945
2036,687531.139222,801461.589651
2037,692294.968072,797196.758558
2038,703406.776309,797300.462541
