year,Base case cost,Modeled diesel efficiency
2019,234048.266631,394161.29016
2020,246183.741707,405193.54023
2021,254611.421537,412855.067348
2022,260707.09093,418396.584978
2023,265417.430611,422678.711961
2024,268705.788158,425668.127913
2025,273437.820799,429969.975768
2026,278144.151622,434248.458334
2027,282900.480376,438572.393565
2028,286727.691023,442051.675972
2029,291986.758439,446832.64635
2030,294826.175863,449413.934917
2031,300107.803956,454215.415002
2032,305881.75809,459464.464215
2033,311674.802028,464730.867795
2034,316909.035345,469489.261719
2035,320823.885546,473048.216447
2036,326067.663764,477815.287555
2037,330004.206924,481393.963155
2038,335735.104874,486603.870381
