year,Base case cost,Modeled residential energy efficiency
2017,676941.699538,648565.192626
2018,724826.388366,694352.439487
2019,772672.080025,739366.58449
2020,794822.863201,760206.466436
2021,824425.006048,788917.196447
2022,836143.782924,799954.304684
2023,859135.479646,822474.076963
2024,865553.481608,828525.026581
2025,873805.198417,836304.818947
2026,898253.209245,860228.469283
2027,906643.643486,868146.979082
2028,928695.582151,889831.865402
2029,938172.417344,898784.340104
2030,959631.172595,919928.47906
2031,969262.13827,929035.084243
2032,995952.528657,955148.678088
2033,1006716.13443,965335.487319
2034,1033915.1554,991957.711751
2035,1040872.61405,998548.118053
2036,1068518.61342,1025617.32088
