year,Base case diesel consumed,Modeled non-residential ashp
2017,98522.8597728,80549.5417004
2018,100489.286598,82515.9685256
2019,100489.286598,82515.9685256
2020,100489.286598,82515.9685256
2021,102455.713423,84482.3953508
2022,102455.713423,84482.3953508
2023,104422.140248,86448.822176
2024,104422.140248,86448.822176
2025,104422.140248,86448.822176
2026,106388.567074,88415.2490013
2027,106388.567074,88415.2490013
2028,108354.993899,90381.6758265
2029,108354.993899,90381.6758265
2030,110321.420724,92348.1026517
2031,110321.420724,92348.1026517
