year,Base case diesel consumed,Modeled residential ashp
2017,1492286.43872,109297.267793
2018,1513821.44225,130832.271316
2019,1535356.44577,152367.27484
2020,1555545.51157,172556.340644
2021,1574388.63966,191399.468727
2022,1593231.76774,210242.59681
2023,1610728.9581,227739.787173
2024,1629572.08619,246582.915257
2025,1647069.27655,264080.10562
2026,1664566.46691,281577.295983
2027,1680717.71956,297728.548626
2028,1698214.90992,315225.738989
2029,1718403.97572,335414.804792
2030,1737247.10381,354257.932875
2031,1754744.29417,371755.123239
