year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,2139171.23,14006.61,1774496.8,1382989.17
2018,2143475.68,14070.05,1774496.8,1402946.92
2019,2147658.87,14132.8,1774496.8,1422904.67
2020,2151720.81,14192.97,1774496.8,1441615.06
2021,2155479.62,14249.5,1774496.8,1459078.09
2022,2159117.18,14304.09,1774496.8,1476541.12
2023,2162694.11,14356.78,1774496.8,1492756.79
2024,2166210.41,14409.34,1774496.8,1510219.82
2025,2169666.09,14461.2,1774496.8,1526435.49
2026,2173121.77,14512.8,1774496.8,1542651.16
2027,2176456.2,14562.58,1774496.8,1557619.47
2028,2179730.0,14611.12,1774496.8,1573835.14
2029,2183670.69,14670.39,1774496.8,1592545.53
2030,2187490.13,14726.88,1774496.8,1610008.56
2031,2191006.43,14779.79,1774496.8,1626224.23
2032,2193977.11,,,1641192.54
2033,2196644.65,,,1653666.13
2034,2199372.82,,,1666139.72
2035,2202222.24,,,1679860.67
2036,2205314.16,,,1694828.98
