year,Base case cost,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,6121562.11263,7113178.22771,7175492.06534,6762877.52105,7497042.51285,7997336.9337,8290019.5013,8595930.58676
2022,6304622.1512,7293420.09226,7352336.44561,6945290.73969,7673167.86687,8178611.67437,8469646.61544,8772674.0989
2023,6423201.49793,7410238.08023,7467031.00591,7063465.82397,7787413.03576,8296075.20991,8586080.3844,8887305.61661
2024,6541955.44745,7527230.67098,7581900.16899,7181815.51103,7901832.80743,8413713.34823,8702688.75615,9002111.7371
2025,6660874.90584,7644388.77062,7696934.84096,7300330.70697,8016418.08798,8531516.99544,8819462.63678,9117083.36648
2026,6823602.36771,7804650.33022,7854223.60183,7462492.20141,8173077.70087,8692682.32163,8979186.28977,9274283.86772
2027,6942895.28206,7922181.88581,7969631.72974,7581380.8533,8288036.43737,8810859.42479,9096333.62634,9389628.95305
2028,7062325.21109,8039850.45608,8085176.87234,7700406.51988,8403132.18856,8929173.54263,9213617.9776,9505111.05307
2029,7206113.28094,8181524.89543,8224303.19848,7843709.47479,8541719.245,9071622.63906,9354831.35414,9644161.7281
2030,7306217.0243,8280219.55178,8321299.1127,7943489.80819,8638355.64609,9170833.73347,9453218.63528,9741107.20825
2031,7471331.9367,8442868.56191,8480975.32409,8108038.75315,8797402.7095,9334386.5102,9615329.7388,9900695.16002
2032,7613100.55564,8582523.55034,8618082.19931,8249322.25715,8933970.31503,9474816.15571,9754523.66442,10037726.3841
2033,7776122.05344,8743079.14587,8775664.99611,8411777.78751,9090923.96385,9636275.51784,9914541.35334,10195220.9213
2034,7939735.86692,8904227.05709,8933840.10859,8574825.63356,9248469.92835,9798327.19566,10075151.358,10353307.7742
2035,8060133.38637,9022863.21778,9050352.8416,8694818.89055,9364533.26995,9917608.90391,10193403.2996,10469757.4646
2036,8225821.8204,9186085.74955,9210602.57463,8859941.35715,9524153.855,10081735.2023,10356087.9248,10629918.938
2037,8348691.66673,9307194.23711,9329587.63453,8982406.94103,9642689.52348,10203489.2374,10476812.1933,10748840.9553
2038,8515901.20624,9471937.87436,9491358.47304,9149050.51311,9803831.21402,10369136.6413,10641017.924,10910523.5342
2039,8637846.50659,9592121.81595,9609418.98696,9270591.551,9921442.33652,10489966.1304,10760817.6466,11028521.0055
2040,8825408.62937,9776865.76472,9790765.45145,9457506.85386,10102069.7748,10675742.9553,10944946.8449,11209766.6019
2041,8835784.15715,9787241.2925,9801140.97923,9467882.38164,10112445.3025,10686118.4831,10955322.3727,11220142.1297
2042,8846159.68493,9797616.82027,9811516.507,9478257.90941,10122820.8303,10696494.0109,10965697.9005,11230517.6574
2043,8857500.37808,9808957.51342,9822857.20016,9489598.60257,10134161.5235,10707834.704,10977038.5936,11241858.3506
2044,8869082.36257,9820539.49792,9834439.18465,9501180.58706,10145743.508,10719416.6885,10988620.5781,11253440.3351
2045,8879940.47304,9831397.60838,9845297.29512,9512038.69753,10156601.6184,10730274.799,10999478.6886,11264298.4456
2046,8890074.70947,9841531.84482,9855431.53155,9522172.93396,10166735.8549,10740409.0354,11009612.925,11274432.682
2047,8899726.36322,9851183.49856,9865083.1853,9531824.58771,10176387.5086,10750060.6891,11019264.5788,11284084.3357
2048,8909378.01696,9860835.15231,9874734.83904,9541476.24145,10186039.1623,10759712.3429,11028916.2325,11293735.9895
2049,8919029.67071,9870486.80606,9884386.49279,9551127.8952,10195690.8161,10769363.9966,11038567.8862,11303387.6432
2050,8928681.32446,9880138.4598,9894038.14653,9560779.54894,10205342.4698,10779015.6504,11048219.54,11313039.297
