year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.77
2001,,,2.77
2004,,1.77,3.03
2005,,1.84,3.28
2006,,1.87,4.91
2008,,3.12,5.54
2009,,3.51,5.15
2010,,2.92,5.48
2011,,2.57,6.83
2012,,4.43,6.9
2013,,3.86,6.96
2014,,,7.17
2016,,2.23,4.43
2017,,2.64,4.84
2018,,2.94,5.14
2019,,3.35,5.55
2020,,3.55,5.75
2021,,3.68,5.88
2022,,3.78,5.98
2023,,3.85,6.05
2024,,3.91,6.11
2025,,3.98,6.18
2026,,4.06,6.26
2027,,4.13,6.33
2028,,4.19,6.39
2029,,4.27,6.47
2030,,4.32,6.52
2031,,4.4,6.6
2032,,4.49,6.69
2033,,4.57,6.77
2034,,4.66,6.86
2035,,4.72,6.92
2036,,4.81,7.01
2037,,4.87,7.07
2038,,4.96,7.16
2039,,5.03,7.23
2040,,5.13,7.33
