year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,9656.89,1196195.0,0.0,1196195.0
2004,,9656.89,1213291.0,0.0,1213291.0
2005,,9656.89,1188204.0,0.0,1188204.0
2006,,9656.89,1265119.0,0.0,1265119.0
2007,,9656.89,1275477.0,0.0,1275477.0
2008,,9656.89,1233880.0,0.0,1233880.0
2009,,9656.89,1274557.0,0.0,1274557.0
2010,,9656.89,1240915.0,0.0,1240915.0
2011,,9656.89,1228676.0,0.0,1228676.0
2012,,9656.89,1243772.0,0.0,1243772.0
2013,,9656.89,1301327.0,0.0,1301327.0
2014,,9656.89,1228540.0,0.0,1228540.0
2015,,9656.89,1214445.0,0.0,1214445.0
2016,start of forecast,9656.89,1253000.0,9393.0,1243607.0
2017,,9656.89,1253000.0,9393.0,1243607.0
2018,,9656.89,1255000.0,9393.0,1245607.0
2019,,9656.89,1256000.0,9393.0,1246607.0
2020,,9656.89,1255000.0,9393.0,1245607.0
2021,,9656.89,1256000.0,9393.0,1246607.0
2022,,9656.89,1259000.0,9393.0,1249607.0
2023,,9656.89,1265000.0,9393.0,1255607.0
2024,,9656.89,1268000.0,9393.0,1258607.0
2025,,9656.89,1270000.0,9393.0,1260607.0
2026,,9656.89,1271000.0,9393.0,1261607.0
2027,,9656.89,1272000.0,9393.0,1262607.0
2028,,9656.89,1271000.0,9393.0,1261607.0
2029,,9656.89,1271000.0,9393.0,1261607.0
2030,,9656.89,1273000.0,9393.0,1263607.0
2031,,9656.89,1276000.0,9393.0,1266607.0
2032,,9656.89,1277000.0,9393.0,1267607.0
2033,,9656.89,1278000.0,9393.0,1268607.0
2034,,9656.89,1279000.0,9393.0,1269607.0
2035,,9656.89,1279000.0,9393.0,1269607.0
2036,,9656.89,1280000.0,9393.0,1270607.0
2037,,9656.89,1280000.0,9393.0,1270607.0
2038,,9656.89,1280000.0,9393.0,1270607.0
2039,,9656.89,1281000.0,9393.0,1271607.0
2040,,9656.89,1281000.0,9393.0,1271607.0
