year,Base case cost,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,305697.889449,2011717.06518,494284.331001
2020,324208.530927,1982664.53523,501828.03942
2021,336982.761177,1951869.66584,505579.496179
2022,346753.766725,1920717.30316,507491.117108
2023,355621.16218,1890401.65325,509141.062883
2024,361885.588609,1859203.3075,508827.081332
2025,368787.889132,1829016.21265,509009.453251
2026,377221.917227,1800272.6625,510320.027287
2027,383858.199959,1771394.26742,510463.618577
2028,388981.833112,1742205.44921,509463.44588
2029,396218.704425,1714986.97147,510165.090354
2030,401377.036767,1687741.86173,509670.493632
2031,410503.714959,1663402.94902,512209.370308
2032,419008.011904,1639132.67809,514225.582737
2033,427525.215374,1615550.14043,516352.081511
2034,436965.670513,1593107.4264,519237.68385
2035,442427.741394,1569099.64904,519274.753171
2036,451886.83929,1547947.62431,522362.55896
2037,456442.15017,1524717.75914,521931.372452
2038,465552.77193,1504430.37671,524845.759268
