year,Base case diesel consumed,Modeled solar power (pv)
2016,89170.2390664,88373.9482867
2017,89170.2390664,88380.3186129
2018,89313.6448836,88530.0437938
2019,89385.3477922,88608.0155111
2020,89313.6448836,88542.5312607
2021,89385.3477922,88620.4030783
2022,89600.456518,88841.6313619
2023,90030.6739697,89277.9194148
2024,90245.7826955,89499.050177
2025,90389.1885127,89648.4298544
2026,90460.8914213,89726.0588323
2027,90532.5943299,89803.6404016
2028,90460.8914213,89737.7691244
2029,90460.8914213,89743.5541028
2030,90604.2972386,89892.6986186
2031,90819.4059644,90113.5001333
2032,90891.108873,90190.8502886
2033,90962.8117816,90268.1552659
2034,91034.5146902,90345.4154266
2035,91034.5146902,90350.9282207
