year,Base case diesel consumed,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,89385.3477922,37500.1551335,58983.3921045
2020,89313.6448836,37428.4522249,58911.6891959
2021,89385.3477922,37500.1551335,58983.3921045
2022,89600.456518,37715.2638594,59198.5008303
2023,90030.6739697,38145.481311,59628.718282
2024,90245.7826955,38360.5900369,59843.8270078
2025,90389.1885127,38503.9958541,59987.232825
2026,90460.8914213,38575.6987627,60058.9357336
2027,90532.5943299,38647.4016713,60130.6386422
2028,90460.8914213,38575.6987627,60058.9357336
2029,90460.8914213,38575.6987627,60058.9357336
2030,90604.2972386,38719.1045799,60202.3415509
2031,90819.4059644,38934.2133057,60417.4502767
2032,90891.108873,39005.9162143,60489.1531853
2033,90962.8117816,39077.6191229,60560.8560939
2034,91034.5146902,39149.3220315,60632.5590025
2035,91034.5146902,39149.3220315,60632.5590025
2036,91106.2175988,39221.0249402,60704.2619111
2037,91106.2175988,39221.0249402,60704.2619111
2038,91106.2175988,39221.0249402,60704.2619111
