year,Base case cost,Modeled solar power (pv)
2016,199741.335509,205466.697293
2017,238084.538307,243324.365523
2018,267047.798202,271897.395785
2019,305697.889449,310079.327156
2020,324208.530927,328300.264122
2021,336982.761177,340844.28412
2022,346753.766725,350420.411142
2023,355621.16218,359112.376103
2024,361885.588609,365220.366556
2025,368787.889132,371962.557128
2026,377221.917227,380225.548244
2027,383858.199959,386709.295762
2028,388981.833112,391691.231262
2029,396218.704425,398775.470344
2030,401377.036767,403806.084783
2031,410503.714959,412779.957233
2032,419008.011904,421134.977972
2033,427525.215374,429506.360307
2034,436965.670513,438797.485547
2035,442427.741394,444140.991205
