year,Base case diesel consumed,Modeled residential ashp
2017,15066.2723059,-66952.5908443
2018,15238.3028561,-66780.560294
2019,15238.3028561,-66780.560294
2020,15238.3028561,-66780.560294
2021,15238.3028561,-66780.560294
2022,15238.3028561,-66780.560294
2023,15238.3028561,-66780.560294
2024,15238.3028561,-66780.560294
2025,15066.2723059,-66952.5908443
2026,15066.2723059,-66952.5908443
2027,15066.2723059,-66952.5908443
2028,15066.2723059,-66952.5908443
2029,14894.2417556,-67124.6213946
2030,14894.2417556,-67124.6213946
2031,14722.2112053,-67296.6519449
