year,Base case cost,Modeled solar power (pv)
2016,648356.63559,687362.179656
2017,743308.57127,779953.069503
2018,811003.075042,845738.566318
2019,899623.147514,932175.41252
2020,939638.962245,970761.116866
2021,967207.820953,997106.947077
2022,988062.577991,1016853.56594
2023,1002402.66212,1030197.71815
2024,1009976.61969,1036885.31233
2025,1023281.2639,1049240.06756
2026,1036285.31984,1061316.8232
2027,1049231.57034,1073357.85635
2028,1058880.02057,1082164.28863
2029,1069371.70764,1091793.11983
2030,1074086.46371,1095747.55138
2031,1087573.91762,1108371.6851
2032,1098797.56606,1118792.68721
2033,1112855.84868,1132027.63619
2034,1123604.04738,1142011.64827
2035,1130499.51361,1148200.69432
