year,Base case cost,Modeled wind power
2019,899623.147514,1265958.52578
2020,939638.962245,1289958.7408
2021,967207.820953,1303519.56339
2022,988062.577991,1311484.81622
2023,1002402.66212,1314048.41734
2024,1009976.61969,1310953.53008
2025,1023281.2639,1312924.93552
2026,1036285.31984,1314809.61478
2027,1049231.57034,1316845.33784
2028,1058880.02057,1316228.90883
2029,1069371.70764,1316213.19732
2030,1074086.46371,1311498.4489
2031,1087573.91762,1314421.26345
2032,1098797.56606,1315707.46217
2033,1112855.84868,1319567.74854
2034,1123604.04738,1320736.54779
2035,1130499.51361,1318667.0646
2036,1142799.06577,1321286.98626
2037,1145439.32917,1315737.45468
2038,1156576.99201,1317521.13181
