year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11633.9280555,7562.0532361
2018,11635.0456507,7562.77967297
2019,11635.7435639,7563.23331653
2020,11636.2235627,7563.54531574
2021,11636.5227446,7563.73978398
2022,11636.4077157,7563.66501519
2023,11635.9903022,7563.39369644
2024,11635.3146742,7562.95453825
2025,11634.5377621,7562.44954536
2026,11633.6849202,7561.89519813
2027,11632.7486757,7561.2866392
2028,11631.6624399,7560.58058593
2029,11629.8287831,7559.38870903
2030,11627.933742,7558.15693232
2031,11626.1461235,7556.99498028
