year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9068.2656616,5894.37268004
2018,9107.22037733,5919.69324527
2019,9143.51369134,5943.28389937
2020,9174.40862455,5963.36560596
2021,9204.56397961,5982.96658674
2022,9241.25947298,6006.81865744
2023,9264.65605529,6022.02643594
2024,9298.53359389,6044.04683603
2025,9331.30716363,6065.34965636
2026,9359.09532871,6083.41196366
2027,9382.1869025,6098.42148663
2028,9399.31056635,6109.55186813
2029,9439.03725053,6135.37421284
2030,9481.72224738,6163.11946079
2031,9508.41454116,6180.46945175
