year,Base case cost,Modeled biomass for heat (cordwood)
2017,1592177.17589,1528377.19641
2018,1744072.97589,1634823.47207
2019,1952387.21589,1783123.90695
2020,2056544.33589,1854543.31926
2021,2125982.41589,1900422.11094
2022,2178060.97589,1933593.09547
2023,2217119.89589,1957262.24283
2024,2247499.05589,1974635.59334
2025,2282218.09589,1995337.19975
2026,2329956.77589,2025782.21001
2027,2369015.69589,2049923.03472
2028,2399394.85589,2067757.00766
2029,2442793.65589,2095326.38433
2030,2464493.05589,2106956.84727
2031,2512231.73589,2137944.60372
2032,,
2033,,
2034,,
2035,,
2036,,
