year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,19733.0,14076.7528693
2018,19733.0,14076.7528693
2019,19733.0,14076.7528693
2020,19733.0,14076.7528693
2021,19733.0,14076.7528693
2022,19733.0,14076.7528693
2023,19733.0,14076.7528693
2024,19733.0,14076.7528693
2025,19733.0,14076.7528693
2026,19733.0,14076.7528693
2027,19733.0,14076.7528693
2028,19733.0,14076.7528693
2029,19733.0,14076.7528693
2030,19733.0,14076.7528693
2031,19733.0,14076.7528693
2032,,
2033,,
2034,,
2035,,
2036,,
