year,Base case cost,Modeled biomass for heat (pellet)
2017,46595.9910608,58248.5665426
2018,51923.9010608,61897.8065299
2019,59422.4410608,67099.0397224
2020,62974.3810608,69488.3895183
2021,65539.6710608,71177.2875864
2022,67315.6410608,72306.4220972
2023,68696.9510608,73157.2506113
2024,69880.9310608,73870.4649763
2025,71064.9110608,74586.7588131
2026,72643.5510608,75587.5950036
2027,74024.8610608,76450.6004796
2028,75011.5110608,77034.9388803
2029,76590.1510608,78044.3806297
2030,77576.8010608,78634.2549145
2031,79155.4410608,79649.1028007
2032,,
2033,,
2034,,
2035,,
2036,,
