year,Base case cost,Modeled biomass for heat (cordwood)
2017,46595.9910608,63828.0568646
2018,51923.9010608,67400.8815968
2019,59422.4410608,72587.306937
2020,62974.3810608,74863.9347146
2021,65539.6710608,76419.2117723
2022,67315.6410608,77398.8555593
2023,68696.9510608,78094.4976027
2024,69880.9310608,78651.8642537
2025,71064.9110608,79216.6861568
2026,72643.5510608,80080.6077217
2027,74024.8610608,80805.7295998
2028,75011.5110608,81245.9755805
2029,76590.1510608,82130.7307865
2030,77576.8010608,82584.3788745
2031,79155.4410608,83482.2220758
2032,,
2033,,
2034,,
2035,,
2036,,
