year,Base case diesel consumed,Modeled wind power
2019,188064.382654,133780.334388
2020,188199.38939,133915.341123
2021,188064.382654,133780.334388
2022,188199.38939,133915.341123
2023,188334.396125,134050.347859
2024,188334.396125,134050.347859
2025,188469.402861,134185.354594
2026,188469.402861,134185.354594
2027,188739.416332,134455.368065
2028,188739.416332,134455.368065
2029,188739.416332,134455.368065
2030,188739.416332,134455.368065
2031,188739.416332,134455.368065
2032,188739.416332,134455.368065
2033,188469.402861,134185.354594
2034,188334.396125,134050.347859
2035,188064.382654,133780.334388
2036,188064.382654,133780.334388
2037,188334.396125,134050.347859
2038,188469.402861,134185.354594
