year,Base case diesel consumed,Modeled solar power (pv)
2016,187524.355712,184725.29782
2017,187389.348976,184612.683548
2018,187659.362447,184904.910342
2019,188064.382654,185331.966166
2020,188199.38939,185488.832233
2021,188064.382654,185375.509955
2022,188199.38939,185532.027672
2023,188334.396125,185688.373301
2024,188334.396125,185709.541484
2025,188469.402861,185865.547057
2026,188469.402861,185886.377903
2027,188739.416332,186177.055574
2028,188739.416332,186197.55446
2029,188739.416332,186217.889355
2030,188739.416332,186238.061571
2031,188739.416332,186258.072409
2032,188739.416332,186277.92316
2033,188469.402861,186027.601634
2034,188334.396125,185912.129309
2035,188064.382654,185661.493972
