year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7612.88108133,4948.37270286
2018,7618.04301303,4951.72795847
2019,7627.35252069,4957.77913845
2020,7630.69492815,4959.9517033
2021,7628.9858008,4958.84077052
2022,7631.74464329,4960.63401814
2023,7634.37851328,4962.34603363
2024,7636.36754668,4963.63890534
2025,7637.9230901,4964.65000857
2026,7637.77814358,4964.55579332
2027,7644.92478998,4969.20111348
2028,7644.08210274,4968.65336678
2029,7645.70728527,4969.70973543
2030,7644.46943656,4968.90513376
2031,7644.06941654,4968.64512075
