year,Base case cost,Modeled water and wastewater efficiency
2017,99873.7520608,91190.1744672
2018,106830.481938,95651.5489827
2019,116469.364648,102026.029134
2020,120810.214083,104654.330692
2021,123951.727464,106442.519344
2022,126235.428584,107632.959711
2023,127772.406598,108303.966009
2024,129112.671537,108845.276919
2025,130632.709872,109523.630154
2026,132496.58837,110455.076186
2027,134117.849206,111223.983308
2028,135410.330596,111768.307101
2029,137121.304114,112618.215226
2030,138219.465869,113041.969839
2031,140080.056598,114014.704153
