year,Base case cost,Modeled wind power
2019,874499.379341,959523.398309
2020,918413.020221,987219.646961
2021,949725.132403,1005149.01069
2022,972990.843144,1017413.91321
2023,988755.579657,1024107.15386
2024,1001938.98739,1028796.87641
2025,1017734.77545,1035774.83438
2026,1036581.71573,1045027.38841
2027,1053165.94313,1053035.70025
2028,1066377.70227,1058237.73934
2029,1083364.24974,1066429.60508
2030,1094688.61472,1070419.02438
2031,1113562.55636,1080268.83039
2032,1132436.49799,1090224.79418
2033,1149663.35745,1098637.34543
2034,1167673.25598,1107934.1757
2035,1179163.67924,1112158.81936
2036,1199850.76133,1123878.77631
2037,1212873.51105,1130276.0572
2038,1234474.58874,1143096.37396
