year,Base case cost,Modeled biomass for heat (cordwood)
2017,533238.80383,612072.665743
2018,572342.99383,639519.924457
2019,626243.36383,677942.070106
2020,650551.37383,694516.779924
2021,668518.16383,706435.490155
2022,681200.60383,714478.897002
2023,689655.56383,719427.714688
2024,697053.65383,723625.604401
2025,705508.61383,728634.779813
2026,716077.31383,735236.006677
2027,724532.27383,740302.743703
2028,731930.36383,744615.789021
2029,741442.19383,750518.885761
2030,747783.41383,754104.074819
2031,758352.11383,760840.98823
2032,,
2033,,
2034,,
2035,,
2036,,
