year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.95
2001,,,2.15
2003,,1.57,2.8
2004,,2.23,3.57
2005,,1.64,3.57
2012,,3.75,6.04
2013,,4.19,6.38
2014,,3.91,6.78
2016,start of forecast,3.25,4.53
2017,,3.77,5.05
2018,,4.14,5.42
2019,,4.65,5.93
2020,,4.88,6.16
2021,,5.05,6.33
2022,,5.17,6.45
2023,,5.25,6.53
2024,,5.32,6.6
2025,,5.4,6.68
2026,,5.5,6.78
2027,,5.58,6.86
2028,,5.65,6.93
2029,,5.74,7.02
2030,,5.8,7.08
2031,,5.9,7.18
2032,,6.0,7.28
2033,,6.1,7.38
2034,,6.2,7.48
2035,,6.27,7.55
2036,,6.38,7.66
2037,,6.44,7.72
2038,,6.55,7.83
2039,,6.63,7.91
2040,,6.74,8.02
