year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,53365.2393336,39490.2771069
2018,53365.2393336,39490.2771069
2019,53365.2393336,39490.2771069
2020,53365.2393336,39490.2771069
2021,53365.2393336,39490.2771069
2022,53365.2393336,39490.2771069
2023,53365.2393336,39490.2771069
2024,53365.2393336,39490.2771069
2025,53365.2393336,39490.2771069
2026,53365.2393336,39490.2771069
2027,53365.2393336,39490.2771069
2028,53365.2393336,39490.2771069
2029,53365.2393336,39490.2771069
2030,53365.2393336,39490.2771069
2031,53365.2393336,39490.2771069
