year,Base case cost,Modeled biomass for heat (cordwood)
2017,258043.955717,300457.418168
2018,276721.705717,314267.999137
2019,302336.905717,333208.224466
2020,314610.855717,342283.749103
2021,322615.605717,348202.569518
2022,328485.755717,352543.037823
2023,332754.955717,355699.742044
2024,336490.505717,358461.858238
2025,340759.705717,361618.562459
2026,345562.555717,365169.854708
2027,349831.755717,368326.55893
2028,353033.655717,370694.087096
2029,357836.505717,374245.379345
2030,360504.755717,376218.319484
2031,365841.255717,380164.19976
2032,,
2033,,
2034,,
2035,,
2036,,
