year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,933594.0,690313.043685
2018,933594.0,690313.043685
2019,933594.0,690313.043685
2020,933594.0,690313.043685
2021,933594.0,690313.043685
2022,933594.0,690313.043685
2023,933594.0,690313.043685
2024,933594.0,690313.043685
2025,933594.0,690313.043685
2026,933594.0,690313.043685
2027,933594.0,690313.043685
2028,933594.0,690313.043685
2029,933594.0,690313.043685
2030,933594.0,690313.043685
2031,933594.0,690313.043685
2032,,
2033,,
2034,,
2035,,
2036,,
