year,Base case cost,Modeled biomass for heat (cordwood)
2017,2992591.79955,4178857.53167
2018,3197982.47955,4316790.52071
2019,3496732.55955,4524081.43631
2020,3627435.71955,4607434.97104
2021,3730131.05955,4670390.6057
2022,3795482.63955,4706037.90919
2023,3851498.27955,4735079.14344
2024,3888842.03955,4750604.21561
2025,3935521.73955,4773315.7178
2026,3991537.37955,4803207.01014
2027,4047553.01955,4833368.4781
2028,4084896.77955,4849987.52853
2029,4140912.41955,4880670.49923
2030,4178256.17955,4897798.82972
2031,4234271.81955,4928979.14425
2032,,
2033,,
2034,,
2035,,
2036,,
