year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,685587.38,1797.69,85329.78,26550.87
2018,685516.52,1802.81,85329.78,27332.52
2019,685445.67,1809.62,85329.78,27332.52
2020,685374.81,1816.25,85329.78,27332.52
2021,685303.96,1822.3,85329.78,27332.52
2022,685162.25,1828.96,85329.78,27332.52
2023,685091.4,1835.36,85329.78,27332.52
2024,685020.54,1842.84,85329.78,28114.17
2025,684878.83,1850.79,85329.78,28114.17
2026,684807.98,1859.47,85329.78,28114.17
2027,684666.27,1867.87,85329.78,28114.17
2028,684595.41,1876.34,85329.78,28114.17
2029,684382.85,1892.77,85329.78,28895.82
2030,684170.29,1909.21,85329.78,28895.82
2031,683957.72,1922.1,85329.78,28895.82
2032,683886.87,,,29677.47
2033,683816.02,,,29677.47
2034,683745.16,,,29677.47
2035,683603.45,,,29677.47
2036,683532.6,,,29677.47
