year,Base case cost,Modeled biomass for heat (pellet)
2017,320523.549789,340644.108847
2018,346297.449789,358357.909451
2019,383240.039789,384077.626222
2020,401281.769789,396294.051948
2021,413309.589789,404224.860759
2022,422760.019789,410327.824012
2023,428773.929789,413988.034736
2024,434787.839789,417663.28182
2025,440801.749789,421353.212848
2026,448533.919789,426286.558546
2027,455406.959789,430619.370508
2028,460561.739789,433736.78308
2029,468293.909789,438711.16294
2030,472589.559789,441240.435004
2031,480321.729789,446240.59312
2032,,
2033,,
2034,,
2035,,
2036,,
