year,Base case cost,Modeled residential energy efficiency
2017,240602.670872,242002.263707
2018,261525.665832,260114.022037
2019,282338.757973,277281.323319
2020,292503.291344,285264.926386
2021,299279.646925,290339.100443
2022,304603.92631,294176.664084
2023,307992.1041,296358.872971
2024,319444.844219,306623.128413
2025,322920.513026,308927.386983
2026,327389.230065,312109.946543
2027,331361.422988,314877.976195
2028,334340.56768,316800.280924
2029,347361.296999,328582.567146
2030,349906.41116,330167.246352
2031,354487.616649,333539.983609
2032,368429.826453,346222.477051
2033,373123.520392,349736.289019
2034,378338.735881,353719.704411
2035,381989.386723,356349.15676
2036,387204.602211,360359.195183
