year,Base case cost,Modeled solar power (pv)
2016,96991.0545873,105717.42087
2017,118856.090015,127058.291239
2018,135675.348035,143437.54686
2019,159222.309265,166455.180262
2020,170435.147945,177327.054018
2021,178067.507883,184673.749626
2022,183667.115049,190025.749783
2023,188146.800782,194279.174252
2024,191273.588725,197200.549554
2025,195188.54522,200907.10198
2026,199978.184877,205477.705033
2027,203888.37285,209189.128336
2028,206987.230879,212101.421385
2029,212008.484458,216917.875555
2030,214798.06978,219537.214837
2031,219550.923697,224094.218025
2032,224291.515701,228643.408566
2033,229019.845791,233184.691555
2034,234291.106162,238265.925338
2035,237885.209253,241695.837737
