year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,56064.19,5842.7,80684.99,71495.61
2018,56064.19,5841.77,80684.99,71495.61
2019,56064.19,5842.02,80684.99,71495.61
2020,56064.19,5840.47,80684.99,70474.58
2021,55996.07,5839.91,80684.99,70474.58
2022,55996.07,5839.07,80684.99,70474.58
2023,55996.07,5836.06,80684.99,70474.58
2024,55927.95,5834.47,80684.99,70474.58
2025,55927.95,5832.48,80684.99,69453.55
2026,55859.83,5829.84,80684.99,69453.55
2027,55859.83,5827.36,80684.99,69453.55
2028,55791.71,5823.19,80684.99,68432.53
2029,55791.71,5822.77,80684.99,68432.53
2030,55791.71,5821.67,80684.99,68432.53
2031,55723.58,5819.1,80684.99,67411.5
2032,55655.46,,,66390.47
2033,55587.34,,,66390.47
2034,55519.22,,,65369.45
2035,55451.1,,,64348.42
2036,55382.98,,,63327.39
