year,Base case diesel consumed,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project geotechnical study and final design
2020,56064.1934031,,,,,,0.0
2021,55996.0716614,0.0,40230.5752405,30377.1399714,0.0,0.0,0.0
2022,55996.0716614,0.0,40230.5752405,30377.1399714,0.0,0.0,0.0
2023,55996.0716614,0.0,40230.5752405,30377.1399714,0.0,0.0,0.0
2024,55927.9499197,0.0,40162.4534988,30309.0182297,0.0,0.0,0.0
2025,55927.9499197,0.0,40162.4534988,30309.0182297,0.0,0.0,0.0
2026,55859.828178,0.0,40094.3317571,30240.896488,0.0,0.0,0.0
2027,55859.828178,0.0,40094.3317571,30240.896488,0.0,0.0,0.0
2028,55791.7064364,0.0,40026.2100154,30172.7747464,0.0,0.0,0.0
2029,55791.7064364,0.0,40026.2100154,30172.7747464,0.0,0.0,0.0
2030,55791.7064364,0.0,40026.2100154,30172.7747464,0.0,0.0,0.0
2031,55723.5846947,0.0,39958.0882737,30104.6530047,0.0,0.0,0.0
2032,55655.462953,0.0,39889.9665321,30036.531263,0.0,0.0,0.0
2033,55587.3412113,0.0,39821.8447904,29968.4095213,0.0,0.0,0.0
2034,55519.2194696,0.0,39753.7230487,29900.2877796,0.0,0.0,0.0
2035,55451.097728,0.0,39685.601307,29832.166038,0.0,0.0,0.0
2036,55382.9759863,0.0,39617.4795653,29764.0442963,0.0,0.0,0.0
2037,55314.8542446,0.0,39549.3578237,29695.9225546,0.0,0.0,0.0
2038,55246.7325029,0.0,39481.236082,29627.8008129,0.0,0.0,0.0
2039,55178.6107612,0.0,39413.1143403,29559.6790712,0.0,0.0,0.0
2040,55110.4890196,0.0,39344.9925986,29491.5573296,0.0,0.0,0.0
2041,55042.3672779,0.0,39276.8708569,29423.4355879,0.0,0.0,0.0
2042,54974.2455362,0.0,39208.7491152,29355.3138462,0.0,0.0,0.0
2043,54906.1237945,0.0,39140.6273736,29287.1921045,0.0,0.0,0.0
2044,54838.0020528,0.0,39072.5056319,29219.0703628,0.0,0.0,0.0
2045,54769.8803111,0.0,39004.3838902,29150.9486211,0.0,0.0,0.0
2046,54633.6368278,0.0,38868.1404068,29014.7051378,0.0,0.0,0.0
2047,54565.5150861,0.0,38800.0186652,28946.5833961,0.0,0.0,0.0
2048,54497.3933444,0.0,38731.8969235,28878.4616544,0.0,0.0,0.0
2049,54429.2716027,0.0,38663.7751818,28810.3399127,0.0,0.0,0.0
2050,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2051,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2052,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2053,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2054,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2055,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2056,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2057,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2058,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2059,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2060,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2061,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2062,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2063,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2064,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2065,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2066,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2067,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2068,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2069,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,0.0
2070,54293.0281194,0.0,38527.5316984,28674.0964294,0.0,0.0,
