year,Base case cost,Modeled water and wastewater efficiency
2017,50269.2612686,45659.9418577
2018,53286.7740107,47516.4428294
2019,57525.2785159,50223.6095497
2020,59526.360622,51387.2797795
2021,60932.0363081,52144.239414
2022,61931.1882664,52624.8595128
2023,62704.623683,52953.8087532
2024,63291.4754953,53158.7078019
2025,63974.3155692,53434.6764629
2026,64850.5153463,53848.9438794
2027,65526.6075992,54129.2432762
2028,66081.8145786,54329.9556365
2029,66981.7007549,54774.183178
2030,67471.2264693,54938.4670866
2031,68344.9762525,55372.4802432
