year,Base case cost,Modeled biomass for heat (cordwood)
2017,266156.613496,316879.396534
2018,290362.113496,333677.098956
2019,324249.813496,357659.74875
2020,340386.813496,368542.4509
2021,351682.713496,375870.163759
2022,359751.213496,380835.504529
2023,366206.013496,384631.103929
2024,371047.113496,387256.412298
2025,376695.063496,390500.683208
2026,383956.713496,394959.989242
2027,389604.663496,398247.431362
2028,394445.763496,400959.106435
2029,401707.413496,405480.913392
2030,405741.663496,407636.198003
2031,413003.313496,412197.268947
2032,,
2033,,
2034,,
2035,,
2036,,
