year,Base case cost,Modeled non-residential energy efficiency
2017,523282.271656,569118.880978
2018,558051.185779,598500.150995
2019,606727.665551,640752.293215
2020,629906.941632,659581.774782
2021,646132.43489,672065.805712
2022,657722.072931,680337.830728
2023,666993.783364,686531.327005
2024,673947.566188,690644.975019
2025,682060.312817,695879.728701
2026,692490.987054,703301.743825
2027,700603.733682,708640.134806
2028,707557.516507,712961.115715
2029,717988.190744,720533.171268
2030,723783.009764,723883.257754
2031,734213.684001,731549.570881
