year,Base case cost,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project geotechnical study and final design
2020,170435.147945,,,,,,573438.173658
2021,178067.507883,687768.533554,320752.495814,398589.054133,4134114.95679,565029.756268,560806.180491
2022,183667.115049,672275.911675,320699.191973,395227.462707,4047206.01908,551600.980327,548793.872889
2023,188146.800782,657291.873658,319952.26495,391433.416183,3962774.29481,538667.348338,537121.472721
2024,191273.588725,642575.385397,318276.54724,386970.501064,3880540.43691,525989.068577,525549.586696
2025,195188.54522,628332.582539,317311.751551,383165.20462,3800172.25066,513714.137349,514433.956774
2026,199978.184877,613999.941205,316975.898216,379830.356015,3720902.70186,501260.431415,503261.95868
2027,203888.37285,600385.238023,316178.430203,376290.249349,3644171.77318,489516.02125,492645.558303
2028,206987.230879,586906.912297,314819.071796,372339.472798,3569196.0866,477880.691903,482054.02191
2029,212008.484458,573722.116993,314963.983884,369627.069039,3495430.87875,466433.562998,471843.298552
2030,214798.06978,561166.276881,313622.034443,365888.845515,3424347.14603,455649.62631,462004.893463
2031,219550.923697,548288.672219,313655.067457,363153.567752,3353625.94215,444420.940813,451984.154066
2032,224291.515701,535676.523008,313751.358394,360524.49209,3284490.68258,433414.89099,442172.318781
2033,229019.845791,523323.320136,313909.137226,357998.841983,3216903.90871,422625.971335,432564.204166
2034,234291.106162,511135.545577,314515.463067,355858.690769,3150574.90789,411941.859663,423116.920938
2035,237885.209253,499456.319913,314014.178776,352962.932945,3086485.1721,401785.770478,413977.515235
2036,243131.26458,487754.567191,314734.31778,351015.647274,3023072.97162,391508.857264,404912.153358
2037,246151.101388,476642.674212,313960.931797,348028.990238,2962091.34762,381862.909006,396189.084913
2038,251372.632888,465403.941533,314789.125047,346265.149027,2901460.33785,371973.844016,387487.465194
2039,255476.967825,454567.955953,314896.89876,344025.269187,2842684.51653,362490.824759,379042.022396
2040,261223.717953,443677.046146,316210.342358,342714.573168,2784445.13817,352858.10899,370642.881302
2041,260900.820897,434006.720763,313345.593969,338404.40692,2730329.71672,344629.014314,362875.961335
2042,260577.923842,424555.475725,310540.420219,334187.692291,2677475.05752,336585.221139,355283.510686
2043,260255.026786,415318.176381,307793.42484,330062.239027,2625851.61171,328722.3865,347861.440173
2044,259932.12973,406289.808307,305103.244256,326025.908161,2575430.52232,321036.269119,340605.756563
2045,259609.232675,397465.474743,302468.546888,322076.610913,2526183.6095,313522.727242,333512.56013
2046,258963.438564,388517.49653,299565.135282,317889.41036,2477760.45619,305854.819038,326255.14555
2047,258640.541508,380086.997833,297037.533647,314108.108584,2430779.9819,298674.388707,319475.587879
2048,258317.644453,371846.52105,294561.604776,310407.863169,2384893.04458,291654.681811,312847.358133
2049,257994.747397,363791.612468,292136.137567,306786.774325,2340074.01403,284791.931334,306366.909664
2050,257348.953286,355595.025904,289437.052306,302920.089818,2295974.96486,277759.561661,299707.881759
2051,257348.953286,348221.205159,287431.88517,299774.689045,2253540.14552,271522.671472,293835.583129
2052,257348.953286,341020.208333,285473.714137,296703.008601,2212099.89223,265431.958393,288100.916519
2053,257348.953286,333987.984897,283561.437745,293703.320679,2171630.89504,259483.996424,282500.65611
2054,257348.953286,327120.579139,281693.980315,290773.937917,2132110.38962,253675.439764,277031.651823
2055,257348.953286,320414.128225,279870.291425,287913.212573,2093516.14619,248003.02117,271690.827329
2056,257348.953286,313864.859761,278089.345244,285119.535482,2055826.45536,242463.549892,266475.178416
2057,257348.953286,307469.089785,276350.139992,282391.335201,2019020.11672,237053.909979,261381.771253
2058,257348.953286,301223.220643,274651.697356,279727.077104,1983076.42649,231771.05848,256407.740861
2059,257348.953286,295123.739108,272993.061983,277125.262577,1947975.16678,226612.023855,251550.289274
2060,257348.953286,289167.214131,271373.300866,274584.42806,1913696.59262,221573.90407,246806.684211
2061,257348.953286,283350.295213,269791.502901,272103.144355,1880221.42256,216653.865221,242174.257394
2062,257348.953286,277669.710334,268246.778326,269680.015737,1847530.82682,211849.139784,237650.403067
2063,257348.953286,272122.264146,266738.258229,267313.679189,1815606.41682,207157.025086,233232.576617
2064,257348.953286,266704.836279,265265.094086,265002.803675,1784430.23546,202574.881868,228918.292941
2065,257348.953286,261414.379337,263826.457216,262746.08929,1753984.74563,198100.132598,224705.125275
2066,257348.953286,256247.917462,262421.538393,260542.26664,1724252.82186,193730.260249,220590.70376
2067,257348.953286,251202.544579,261049.547366,258390.096101,1695217.74029,189462.806819,216572.713966
2068,257348.953286,246275.422583,259709.712368,256288.367042,1666863.16822,185295.371794,212648.895819
2069,257348.953286,241463.780022,258401.279756,254235.897263,1639173.15651,181225.611039,208817.042171
2070,257348.953286,236764.910346,257123.513538,252231.532251,1612132.12952,177251.235313,
