year,Base case diesel consumed,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,22948.7472939,0.0,0.0
2022,23039.1207196,90.3734256929,90.3734256929
2023,23227.96381,279.216516126,279.216516126
2024,23416.0388208,467.29152689,467.29152689
2025,23470.5982867,521.850992828,521.850992828
2026,23594.1832671,645.435973269,645.435973269
2027,23655.5337937,706.786499835,706.786499835
2028,23715.1245761,766.377282211,766.377282211
2029,23654.9472123,706.199918438,706.199918438
2030,23654.9609854,706.213691557,706.213691557
2031,23654.7700493,706.022755464,706.022755464
2032,23776.3380007,827.590706782,827.590706782
2033,23897.7650979,949.017803983,949.017803983
2034,24019.1815525,1070.43425867,1070.43425867
2035,24079.9294278,1131.18213392,1131.18213392
2036,24140.6448196,1191.89752576,1191.89752576
2037,24079.9186,1131.17130612,1131.17130612
2038,24079.9234072,1131.17611333,1131.17611333
2039,24140.6440262,1191.89673228,1191.89673228
2040,24201.3663875,1252.6190936,1252.6190936
2041,24201.3672328,1252.61993888,1252.61993888
2042,24262.0893832,1313.34208934,1313.34208934
2043,24262.0894184,1313.34212448,1313.34212448
2044,24262.0895534,1313.34225951,1313.34225951
2045,24201.3668258,1252.61953196,1252.61953196
2046,24262.0894745,1313.34218059,1313.34218059
2047,24262.0894932,1313.34219929,1313.34219929
2048,24262.0894731,1313.34217922,1313.34217922
2049,24262.0894802,1313.34218637,1313.34218637
2050,24262.0894822,1313.34218829,1313.34218829
2051,24262.0894822,1313.34218829,1313.34218829
2052,24262.0894822,1313.34218829,1313.34218829
2053,24262.0894822,1313.34218829,1313.34218829
2054,24262.0894822,1313.34218829,1313.34218829
2055,24262.0894822,1313.34218829,1313.34218829
2056,24262.0894822,1313.34218829,1313.34218829
2057,24262.0894822,1313.34218829,1313.34218829
2058,24262.0894822,1313.34218829,1313.34218829
2059,24262.0894822,1313.34218829,1313.34218829
2060,24262.0894822,1313.34218829,1313.34218829
2061,24262.0894822,1313.34218829,1313.34218829
2062,24262.0894822,1313.34218829,1313.34218829
2063,24262.0894822,1313.34218829,1313.34218829
2064,24262.0894822,1313.34218829,1313.34218829
2065,24262.0894822,1313.34218829,1313.34218829
2066,24262.0894822,1313.34218829,1313.34218829
2067,24262.0894822,1313.34218829,1313.34218829
2068,24262.0894822,1313.34218829,1313.34218829
2069,24262.0894822,1313.34218829,1313.34218829
2070,24262.0894822,1313.34218829,1313.34218829
