year,Base case cost,Modeled water and wastewater efficiency
2017,71462.5243544,57126.1426017
2018,75198.8869502,59560.608162
2019,80371.4415498,62987.3368108
2020,82852.5085716,64563.9404506
2021,84525.266961,65587.0286274
2022,85825.9189815,66356.5781172
2023,86668.0888823,66813.1215868
2024,87339.7556274,67155.3522362
2025,88198.5625544,67629.4525156
2026,89337.1465614,68299.2197024
2027,90203.5660072,68784.1648756
2028,90977.6581707,69208.0797878
2029,91982.8361087,69794.8827658
2030,92619.547998,70130.1902113
2031,93779.285258,70827.7517652
