year,Base case cost,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,101662.950512,1729758.51025,1650375.04874
2022,105519.172896,1683724.60939,1617219.40507
2023,108706.870631,1641381.29298,1585454.99573
2024,111460.344787,1600882.47759,1554528.42391
2025,114067.107673,1559749.58979,1523683.43774
2026,117734.974503,1518483.4899,1493853.98505
2027,120406.66701,1479123.90892,1464504.78129
2028,122844.345304,1441040.80209,1435868.43084
2029,125134.670753,1402242.87845,1407245.93426
2030,126790.590882,1366341.48571,1379673.39774
2031,129864.687571,1328508.67123,1352623.03878
2032,133623.019564,1292109.7679,1326884.80678
2033,137412.149313,1256473.76737,1301790.54774
2034,141472.979344,1221138.2028,1277310.29991
2035,143757.178684,1188841.46383,1253177.15102
2036,147499.339848,1154567.24656,1229534.06805
2037,149295.49532,1122443.92474,1205785.12586
2038,152666.714402,1089114.85116,1182873.38959
2039,155707.153969,1058148.63152,1160932.19887
2040,159729.018157,1026039.10948,1139465.8391
2041,159729.023736,1000806.47828,1118332.22789
2042,160129.789929,976565.997601,1098094.69643
2043,160129.790161,952502.280288,1077940.10919
2044,160129.791052,929002.556925,1058257.89568
2045,159729.021051,905652.837544,1038636.21325
2046,160129.790531,883642.523618,1020266.56041
2047,160129.790655,861756.700155,1001936.07003
2048,160129.790522,840383.825428,984035.200271
2049,160129.79057,819511.877431,966553.882156
2050,160129.790582,799129.115824,949482.28252
2051,160129.790582,779224.075207,932810.798511
2052,160129.790582,759785.558967,916530.052399
2053,160129.790582,740802.633024,900630.886333
2054,160129.790582,722264.619248,885104.356839
2055,160129.790582,704161.090231,869941.730432
2056,160129.790582,686481.862692,855134.478094
2057,160129.790582,669216.99207,840674.270751
2058,160129.790582,652356.766785,826552.97446
2059,160129.790582,635891.703165,812762.646164
2060,160129.790582,619812.539365,799295.528597
2061,160129.790582,604110.230975,786144.046606
2062,160129.790582,588775.945447,773300.80248
2063,160129.790582,573801.057189,760758.57185
2064,160129.790582,559177.143011,748510.299864
2065,160129.790582,544895.976714,736549.096662
2066,160129.790582,530949.525203,724868.23412
2067,160129.790582,517329.943764,713461.14189
2068,160129.790582,504029.571155,702321.403291
2069,160129.790582,491040.926065,691442.752346
2070,160129.790582,478356.70238,680819.069813
