year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,49114.6735201,36344.8584049
2018,49114.6735201,36344.8584049
2019,49114.6735201,36344.8584049
2020,49114.6735201,36344.8584049
2021,49114.6735201,36344.8584049
2022,49114.6735201,36344.8584049
2023,49114.6735201,36344.8584049
2024,49114.6735201,36344.8584049
2025,49114.6735201,36344.8584049
2026,49114.6735201,36344.8584049
2027,49114.6735201,36344.8584049
2028,49114.6735201,36344.8584049
2029,49114.6735201,36344.8584049
2030,49114.6735201,36344.8584049
2031,49114.6735201,36344.8584049
