year,Base case cost,"Scammon bay, alaska heat recovery study"
2019,1037487.83782,1021611.29092
2020,1083081.88223,1064199.92108
2021,1121178.03678,1099778.08971
2022,1155409.79826,1131978.72383
2023,1179884.84312,1154793.16354
2024,1206460.02489,1179846.15903
2025,1231468.52975,1203238.80588
2026,1265165.60168,1235110.04992
2027,1290777.5567,1259148.82112
2028,1320806.69878,1287625.36933
2029,1353445.96101,1318616.36504
2030,1379608.15325,1343497.26685
2031,1415284.08563,1377447.96468
2032,1451414.89802,1411872.26894
2033,1485617.40025,1444502.33059
2034,1525041.16279,1482139.95146
2035,1555241.60533,1511034.81268
2036,1593119.66802,1547276.98564
2037,1628570.98778,1581456.3881
2038,1667330.42047,1618612.80607
