year,Base case diesel consumed,Scammon bay hydroelectric project
2021,131758.049738,89246.4059882
2022,132204.183089,89692.5393395
2023,132650.31644,90138.6726907
2024,133170.80535,90659.1616005
2025,133616.938701,91105.2949518
2026,134137.427611,91625.7838616
2027,134657.916521,92146.2727714
2028,135178.405431,92666.7616812
2029,135698.89434,93187.250591
2030,136219.38325,93707.7395008
2031,136814.227719,94302.5839691
2032,137334.716628,94823.0728789
2033,137929.561097,95417.9173473
2034,138450.050007,95938.4062571
2035,139044.894475,96533.2507254
2036,139639.738943,97128.0951937
2037,140234.583412,97722.9396621
2038,140829.42788,98317.7841304
2039,141424.272348,98912.6285988
2040,142093.472375,99581.8286257
2041,142688.316844,100176.673094
2042,143357.51687,100845.873121
2043,144026.716897,101515.073148
2044,144695.916924,102184.273175
2045,145365.116951,102853.473202
2046,146108.672536,103597.028787
2047,146777.872563,104266.228814
2048,147521.428149,105009.784399
2049,148264.983734,105753.339985
2050,149008.53932,106496.89557
2051,149008.53932,106496.89557
2052,149008.53932,106496.89557
2053,149008.53932,106496.89557
2054,149008.53932,106496.89557
2055,149008.53932,106496.89557
2056,149008.53932,106496.89557
2057,149008.53932,106496.89557
2058,149008.53932,106496.89557
2059,149008.53932,106496.89557
2060,149008.53932,106496.89557
2061,149008.53932,106496.89557
2062,149008.53932,106496.89557
2063,149008.53932,106496.89557
2064,149008.53932,106496.89557
2065,149008.53932,106496.89557
2066,149008.53932,106496.89557
2067,149008.53932,106496.89557
2068,149008.53932,106496.89557
2069,149008.53932,106496.89557
2070,149008.53932,106496.89557
