year,Base case cost,Scammon bay hydroelectric project
2021,428213.661648,547913.52409
2022,441561.971517,553045.77989
2023,451011.075897,555539.505536
2024,459439.278458,557504.45604
2025,468995.454842,560321.019851
2026,481553.365124,565477.494127
2027,491501.395301,568891.68235
2028,501511.884148,572467.61183
2029,512941.820607,577176.980136
2030,520358.044016,579116.211773
2031,533575.488103,585417.270652
2032,546592.172181,591607.866477
2033,558614.722442,597275.473496
2034,573183.207027,604809.199985
2035,582598.10785,608805.295787
2036,596261.685288,615983.299683
2037,605813.400338,620278.534139
2038,619649.482672,627787.562869
2039,632166.497397,634436.972875
2040,647946.234031,643657.86793
2041,650658.724806,643331.137807
2042,653710.276929,643414.700771
2043,656761.829052,643567.825953
2044,659813.381174,643788.883037
2045,662864.933297,644076.279852
2046,666255.546766,644767.522902
2047,669307.098889,645182.971109
2048,672697.712358,645999.264327
2049,676088.325828,646875.893184
2050,679478.939298,647811.443558
2051,679478.939298,645413.921007
2052,679478.939298,643072.59038
2053,679478.939298,640786.13471
2054,679478.939298,638553.267828
2055,679478.939298,636372.733766
2056,679478.939298,634243.305972
2057,679478.939298,632163.786635
2058,679478.939298,630133.006052
2059,679478.939298,628149.821874
2060,679478.939298,626213.118568
2061,679478.939298,624321.806761
2062,679478.939298,622474.82256
2063,679478.939298,620671.127056
2064,679478.939298,618909.705671
2065,679478.939298,617189.567614
2066,679478.939298,615509.745254
2067,679478.939298,613869.293761
2068,679478.939298,612267.290337
2069,679478.939298,610702.833884
2070,679478.939298,609175.044374
