year,Base case cost,Modeled solar power
2020,409693.179126,421803.397149
2021,428213.661648,439712.751789
2022,441561.971517,452544.829954
2023,451011.075897,461550.126136
2024,459439.278458,469565.074068
2025,468995.454842,478697.993459
2026,481553.365124,490803.138431
2027,491501.395301,500348.038899
2028,501511.884148,509964.97487
2029,512941.820607,520991.432711
2030,520358.044016,528071.057646
2031,533575.488103,540884.310909
2032,546592.172181,553506.173772
2033,558614.722442,565161.754062
2034,573183.207027,579334.879335
2035,582598.10785,588437.036922
2036,596261.685288,601740.873532
2037,605813.400338,610995.536571
2038,619649.482672,624488.09658
2039,632166.497397,636687.456724
