year,annotation,diesel generation efficiency
2002,,12.88
2003,,12.82
2004,,13.17
2005,,13.76
2006,,13.58
2007,,13.31
2008,,13.08
2009,,13.48
2010,,13.22
2011,,13.31
2012,,13.04
2013,,14.0
2014,start of forecast,13.45
2015,,13.45
2016,,13.45
2017,,13.45
2018,,13.45
2019,,13.45
2020,,13.45
2021,,13.45
2022,,13.45
2023,,13.45
2024,,13.45
2025,,13.45
2026,,13.45
2027,,13.45
2028,,13.45
2029,,13.45
2030,,13.45
2031,,13.45
2032,,13.45
2033,,13.45
2034,,13.45
2035,,13.45
2036,,13.45
2037,,13.45
2038,,13.45
2039,,13.45
2040,,13.45
