year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9091.4684107,5909.45446696
2018,9109.99847247,5921.4990071
2019,9129.45957442,5934.14872337
2020,9149.6667629,5947.28339588
2021,9170.57506721,5960.87379369
2022,9192.23933293,5974.9555664
2023,9214.66236237,5989.53053554
2024,9237.72245442,6004.51959537
2025,9261.28082713,6019.83253763
2026,9285.171209,6035.36128585
2027,9309.46619369,6051.1530259
2028,9334.05809173,6067.13775963
2029,9359.27797818,6083.53068582
2030,9384.84335167,6100.14817859
2031,9410.74233566,6116.98251818
