year,Base case diesel consumed,"Scammon bay, alaska heat recovery study"
2019,201448.0,189870.0
2020,203581.0,192003.0
2021,205715.0,194137.0
2022,208552.0,196974.0
2023,210688.0,199110.0
2024,213527.0,201949.0
2025,215663.0,204085.0
2026,218503.0,206925.0
2027,220640.0,209062.0
2028,223481.0,211903.0
2029,226323.0,214745.0
2030,229165.0,217587.0
2031,232008.0,220430.0
2032,234851.0,223273.0
2033,237693.0,226115.0
2034,240537.0,228959.0
2035,243381.0,231803.0
2036,246226.0,234648.0
2037,249775.0,238197.0
2038,252620.0,241042.0
