year,Base case diesel consumed,Modeled solar power
2020,131311.916386,129238.132474
2021,131758.049738,129700.856097
2022,132204.183089,130163.446997
2023,132650.31644,130625.906237
2024,133170.80535,131162.590428
2025,133616.938701,131624.789499
2026,134137.427611,132161.215602
2027,134657.916521,132697.514208
2028,135178.405431,133233.686337
2029,135698.89434,133769.732999
2030,136219.38325,134305.6552
2031,136814.227719,134915.809492
2032,137334.716628,135451.485748
2033,137929.561097,136061.396063
2034,138450.050007,136596.830294
2035,139044.894475,137206.50052
2036,139639.738943,137816.05214
2037,140234.583412,138425.486102
2038,140829.42788,139034.803349
2039,141424.272348,139644.004814
