year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,130122.23,9091.47,135331.04,52762.84
2018,130494.01,9110.0,135331.04,54875.28
2019,130865.78,9129.46,135331.04,56987.72
2020,131311.92,9149.67,135331.04,59100.16
2021,131758.05,9170.58,135331.04,61212.6
2022,132204.18,9192.24,135331.04,64029.19
2023,132650.32,9214.66,135331.04,66141.63
2024,133170.81,9237.72,135331.04,68958.22
2025,133616.94,9261.28,135331.04,71070.66
2026,134137.43,9285.17,135331.04,73887.25
2027,134657.92,9309.47,135331.04,75999.69
2028,135178.41,9334.06,135331.04,78816.28
2029,135698.89,9359.28,135331.04,81632.87
2030,136219.38,9384.84,135331.04,84449.46
2031,136814.23,9410.74,135331.04,87266.05
2032,137334.72,9436.84,135331.04,90082.64
2033,137929.56,9463.28,135331.04,92899.22
2034,138450.05,9490.18,135331.04,95715.81
2035,139044.89,9517.57,135331.04,98532.4
2036,139639.74,9545.52,135331.04,101348.99
2037,140234.58,9574.06,135331.04,104869.72
2038,140829.43,9603.12,135331.04,107686.31
2039,141424.27,9632.52,135331.04,110502.9
2040,142093.47,9662.36,135331.04,114023.64
