year,Base case diesel consumed,Modeled transmission and interties
2021,423302.38321,211651.191605
2022,423451.171394,211725.585697
2023,423599.959578,211799.979789
2024,423748.747762,211874.373881
2025,423897.535946,211948.767973
2026,424046.32413,212023.162065
2027,424195.112314,212097.556157
2028,424492.688682,212246.344341
2029,424641.476865,212320.738433
2030,424790.265049,212395.132525
2031,425087.841417,212543.920709
2032,425236.629601,212618.314801
2033,425534.205969,212767.102984
2034,425831.782337,212915.891168
2035,426129.358705,213064.679352
2036,426426.935072,213213.467536
2037,426724.51144,213362.25572
2038,427022.087808,213511.043904
2039,427319.664176,213659.832088
2040,427617.240544,213808.620272
