year,Base case cost,Cold bay wind energy project,Modeled wind power
2019,873812.17373,1036453.10526,1063596.29783
2020,935169.445008,1087219.03567,1097703.4527
2021,977828.505216,1121151.74484,1118963.52159
2022,1012048.29963,1147535.88432,1134498.09613
2023,1033583.90137,1162512.49722,1141310.32355
2024,1053015.63819,1175687.74311,1146843.40801
2025,1076699.7413,1192832.37514,1155569.51597
2026,1104640.67436,1213948.38097,1167488.57375
2027,1126238.02319,1229404.49941,1175128.10026
2028,1146130.25944,1243448.21199,1181869.29359
2029,1172010.47615,1262993.04914,1192895.13002
2030,1189412.74214,1274931.02697,1198120.86111
2031,1217876.66566,1297050.72655,1211443.80923
2032,1248069.50788,1320794.51815,1226033.19119
2033,1276602.61791,1343160.28196,1239749.45834
2034,1309432.73069,1369519.76219,1256666.17391
2035,1329523.59916,1384389.22537,1264755.20838
2036,1360301.92288,1409055.96111,1280548.47991
2037,1380453.79451,1424147.29693,1288993.31459
2038,1413443.11064,1450987.80994,1306658.99336
